DATAFLOW,LAST UPDATE,freq,nabs07,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:SDG_02_30(1.0),18/03/22 23:00:00,A,NABS08,EUR_HAB,EU27_2020,2011,6.5,e
ESTAT:SDG_02_30(1.0),18/03/22 23:00:00,A,NABS08,EUR_HAB,EU27_2020,2012,5.6,e
ESTAT:SDG_02_30(1.0),18/03/22 23:00:00,A,NABS08,EUR_HAB,EU27_2020,2013,5.8,e
ESTAT:SDG_02_30(1.0),18/03/22 23:00:00,A,NABS08,EUR_HAB,EU27_2020,2014,5.7,e
ESTAT:SDG_02_30(1.0),18/03/22 23:00:00,A,NABS08,EUR_HAB,EU27_2020,2015,5.9,e
ESTAT:SDG_02_30(1.0),18/03/22 23:00:00,A,NABS08,EUR_HAB,EU27_2020,2016,6,e
ESTAT:SDG_02_30(1.0),18/03/22 23:00:00,A,NABS08,EUR_HAB,EU27_2020,2017,6.2,e
ESTAT:SDG_02_30(1.0),18/03/22 23:00:00,A,NABS08,EUR_HAB,EU27_2020,2018,6.4,e
ESTAT:SDG_02_30(1.0),18/03/22 23:00:00,A,NABS08,EUR_HAB,EU27_2020,2019,6.6,e
ESTAT:SDG_02_30(1.0),18/03/22 23:00:00,A,NABS08,EUR_HAB,EU27_2020,2020,7.2,e
ESTAT:SDG_02_30(1.0),18/03/22 23:00:00,A,NABS08,EUR_HAB,FI,2004,17.6,
ESTAT:SDG_02_30(1.0),18/03/22 23:00:00,A,NABS08,EUR_HAB,FI,2005,18.2,
ESTAT:SDG_02_30(1.0),18/03/22 23:00:00,A,NABS08,EUR_HAB,FI,2006,18.6,
ESTAT:SDG_02_30(1.0),18/03/22 23:00:00,A,NABS08,EUR_HAB,FI,2007,19.2,
ESTAT:SDG_02_30(1.0),18/03/22 23:00:00,A,NABS08,EUR_HAB,FI,2008,18.6,
ESTAT:SDG_02_30(1.0),18/03/22 23:00:00,A,NABS08,EUR_HAB,FI,2009,18.9,
ESTAT:SDG_02_30(1.0),18/03/22 23:00:00,A,NABS08,EUR_HAB,FI,2010,18.6,
ESTAT:SDG_02_30(1.0),18/03/22 23:00:00,A,NABS08,EUR_HAB,FI,2011,18,
ESTAT:SDG_02_30(1.0),18/03/22 23:00:00,A,NABS08,EUR_HAB,FI,2012,18.4,
ESTAT:SDG_02_30(1.0),18/03/22 23:00:00,A,NABS08,EUR_HAB,FI,2013,17.8,
ESTAT:SDG_02_30(1.0),18/03/22 23:00:00,A,NABS08,EUR_HAB,FI,2014,17.2,
ESTAT:SDG_02_30(1.0),18/03/22 23:00:00,A,NABS08,EUR_HAB,FI,2015,17.7,
ESTAT:SDG_02_30(1.0),18/03/22 23:00:00,A,NABS08,EUR_HAB,FI,2016,13.9,
ESTAT:SDG_02_30(1.0),18/03/22 23:00:00,A,NABS08,EUR_HAB,FI,2017,13.2,
ESTAT:SDG_02_30(1.0),18/03/22 23:00:00,A,NABS08,EUR_HAB,FI,2018,10.3,
ESTAT:SDG_02_30(1.0),18/03/22 23:00:00,A,NABS08,EUR_HAB,FI,2019,10.3,
ESTAT:SDG_02_30(1.0),18/03/22 23:00:00,A,NABS08,EUR_HAB,FI,2020,10.9,
ESTAT:SDG_02_30(1.0),18/03/22 23:00:00,A,NABS08,EUR_HAB,FR,2004,5.5,d
ESTAT:SDG_02_30(1.0),18/03/22 23:00:00,A,NABS08,EUR_HAB,FR,2005,5.8,d
ESTAT:SDG_02_30(1.0),18/03/22 23:00:00,A,NABS08,EUR_HAB,FR,2006,3.5,d
ESTAT:SDG_02_30(1.0),18/03/22 23:00:00,A,NABS08,EUR_HAB,FR,2007,3.7,d
ESTAT:SDG_02_30(1.0),18/03/22 23:00:00,A,NABS08,EUR_HAB,FR,2008,4.2,d
ESTAT:SDG_02_30(1.0),18/03/22 23:00:00,A,NABS08,EUR_HAB,FR,2009,4.5,d
ESTAT:SDG_02_30(1.0),18/03/22 23:00:00,A,NABS08,EUR_HAB,FR,2010,4.8,d
ESTAT:SDG_02_30(1.0),18/03/22 23:00:00,A,NABS08,EUR_HAB,FR,2011,5.7,d
ESTAT:SDG_02_30(1.0),18/03/22 23:00:00,A,NABS08,EUR_HAB,FR,2012,4.4,d
ESTAT:SDG_02_30(1.0),18/03/22 23:00:00,A,NABS08,EUR_HAB,FR,2013,4.7,d
ESTAT:SDG_02_30(1.0),18/03/22 23:00:00,A,NABS08,EUR_HAB,FR,2014,5.3,d
ESTAT:SDG_02_30(1.0),18/03/22 23:00:00,A,NABS08,EUR_HAB,FR,2015,5.9,d
ESTAT:SDG_02_30(1.0),18/03/22 23:00:00,A,NABS08,EUR_HAB,FR,2016,6,e
