DATAFLOW,LAST UPDATE,freq,nutrient,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:AEI_FM_USEFERT(1.0),09/03/22 23:00:00,A,N,T,BG,2009,177553,
ESTAT:AEI_FM_USEFERT(1.0),09/03/22 23:00:00,A,N,T,BG,2010,199083,
ESTAT:AEI_FM_USEFERT(1.0),09/03/22 23:00:00,A,N,T,BG,2011,192357,
ESTAT:AEI_FM_USEFERT(1.0),09/03/22 23:00:00,A,N,T,BG,2012,235386,
ESTAT:AEI_FM_USEFERT(1.0),09/03/22 23:00:00,A,N,T,BG,2013,258856,
ESTAT:AEI_FM_USEFERT(1.0),09/03/22 23:00:00,A,N,T,BG,2014,322004,
ESTAT:AEI_FM_USEFERT(1.0),09/03/22 23:00:00,A,N,T,BG,2015,341608,
ESTAT:AEI_FM_USEFERT(1.0),09/03/22 23:00:00,A,N,T,BG,2016,365913,
ESTAT:AEI_FM_USEFERT(1.0),09/03/22 23:00:00,A,N,T,BG,2017,351120,
ESTAT:AEI_FM_USEFERT(1.0),09/03/22 23:00:00,A,N,T,BG,2018,339329,
ESTAT:AEI_FM_USEFERT(1.0),09/03/22 23:00:00,A,N,T,BG,2019,352486,
ESTAT:AEI_FM_USEFERT(1.0),09/03/22 23:00:00,A,N,T,BG,2020,364335,
ESTAT:AEI_FM_USEFERT(1.0),09/03/22 23:00:00,A,N,T,CH,2000,53000,
ESTAT:AEI_FM_USEFERT(1.0),09/03/22 23:00:00,A,N,T,CH,2001,57100,
ESTAT:AEI_FM_USEFERT(1.0),09/03/22 23:00:00,A,N,T,CH,2002,55700,
ESTAT:AEI_FM_USEFERT(1.0),09/03/22 23:00:00,A,N,T,CH,2003,53200,
ESTAT:AEI_FM_USEFERT(1.0),09/03/22 23:00:00,A,N,T,CH,2004,53600,
ESTAT:AEI_FM_USEFERT(1.0),09/03/22 23:00:00,A,N,T,CH,2005,52400,
ESTAT:AEI_FM_USEFERT(1.0),09/03/22 23:00:00,A,N,T,CH,2006,51400,
ESTAT:AEI_FM_USEFERT(1.0),09/03/22 23:00:00,A,N,T,CH,2007,53900,
ESTAT:AEI_FM_USEFERT(1.0),09/03/22 23:00:00,A,N,T,CH,2008,50800,
ESTAT:AEI_FM_USEFERT(1.0),09/03/22 23:00:00,A,N,T,CH,2009,47900,
ESTAT:AEI_FM_USEFERT(1.0),09/03/22 23:00:00,A,N,T,CH,2010,55500,
ESTAT:AEI_FM_USEFERT(1.0),09/03/22 23:00:00,A,N,T,CH,2011,48900,
ESTAT:AEI_FM_USEFERT(1.0),09/03/22 23:00:00,A,N,T,CH,2012,47200,
ESTAT:AEI_FM_USEFERT(1.0),09/03/22 23:00:00,A,N,T,CH,2013,45700,
ESTAT:AEI_FM_USEFERT(1.0),09/03/22 23:00:00,A,N,T,CH,2014,51600,
ESTAT:AEI_FM_USEFERT(1.0),09/03/22 23:00:00,A,N,T,CH,2015,45800,
ESTAT:AEI_FM_USEFERT(1.0),09/03/22 23:00:00,A,N,T,CH,2016,48500,
ESTAT:AEI_FM_USEFERT(1.0),09/03/22 23:00:00,A,N,T,CH,2017,51600,
ESTAT:AEI_FM_USEFERT(1.0),09/03/22 23:00:00,A,N,T,CH,2018,47900,
ESTAT:AEI_FM_USEFERT(1.0),09/03/22 23:00:00,A,N,T,CH,2019,42000,
ESTAT:AEI_FM_USEFERT(1.0),09/03/22 23:00:00,A,N,T,CH,2020,43000,p
ESTAT:AEI_FM_USEFERT(1.0),09/03/22 23:00:00,A,N,T,CY,2000,10537,e
ESTAT:AEI_FM_USEFERT(1.0),09/03/22 23:00:00,A,N,T,CY,2001,12359,e
ESTAT:AEI_FM_USEFERT(1.0),09/03/22 23:00:00,A,N,T,CY,2002,10579,e
ESTAT:AEI_FM_USEFERT(1.0),09/03/22 23:00:00,A,N,T,CY,2003,11198,e
ESTAT:AEI_FM_USEFERT(1.0),09/03/22 23:00:00,A,N,T,CY,2004,10738,e
ESTAT:AEI_FM_USEFERT(1.0),09/03/22 23:00:00,A,N,T,CY,2005,8593,e
ESTAT:AEI_FM_USEFERT(1.0),09/03/22 23:00:00,A,N,T,CY,2006,11291,e
ESTAT:AEI_FM_USEFERT(1.0),09/03/22 23:00:00,A,N,T,CY,2007,8198,e
ESTAT:AEI_FM_USEFERT(1.0),09/03/22 23:00:00,A,N,T,CY,2008,7499,e
ESTAT:AEI_FM_USEFERT(1.0),09/03/22 23:00:00,A,N,T,CY,2009,7674,
ESTAT:AEI_FM_USEFERT(1.0),09/03/22 23:00:00,A,N,T,CY,2010,9369,e
ESTAT:AEI_FM_USEFERT(1.0),09/03/22 23:00:00,A,N,T,CY,2011,7138,e
ESTAT:AEI_FM_USEFERT(1.0),09/03/22 23:00:00,A,N,T,CY,2012,8319,e
ESTAT:AEI_FM_USEFERT(1.0),09/03/22 23:00:00,A,N,T,CY,2013,7051,e
ESTAT:AEI_FM_USEFERT(1.0),09/03/22 23:00:00,A,N,T,CY,2014,6693,e
ESTAT:AEI_FM_USEFERT(1.0),09/03/22 23:00:00,A,N,T,CY,2015,7533,e
ESTAT:AEI_FM_USEFERT(1.0),09/03/22 23:00:00,A,N,T,CY,2016,8073,e
ESTAT:AEI_FM_USEFERT(1.0),09/03/22 23:00:00,A,N,T,CY,2017,7841,e
ESTAT:AEI_FM_USEFERT(1.0),09/03/22 23:00:00,A,N,T,CY,2018,7824,e
ESTAT:AEI_FM_USEFERT(1.0),09/03/22 23:00:00,A,N,T,CY,2019,7824,e
ESTAT:AEI_FM_USEFERT(1.0),09/03/22 23:00:00,A,N,T,CZ,2000,262253,
ESTAT:AEI_FM_USEFERT(1.0),09/03/22 23:00:00,A,N,T,CZ,2001,310830,
ESTAT:AEI_FM_USEFERT(1.0),09/03/22 23:00:00,A,N,T,CZ,2002,289098,
ESTAT:AEI_FM_USEFERT(1.0),09/03/22 23:00:00,A,N,T,CZ,2003,242488,
ESTAT:AEI_FM_USEFERT(1.0),09/03/22 23:00:00,A,N,T,CZ,2004,303330,
ESTAT:AEI_FM_USEFERT(1.0),09/03/22 23:00:00,A,N,T,CZ,2005,292846,
ESTAT:AEI_FM_USEFERT(1.0),09/03/22 23:00:00,A,N,T,CZ,2006,309597,
ESTAT:AEI_FM_USEFERT(1.0),09/03/22 23:00:00,A,N,T,CZ,2007,335264,
ESTAT:AEI_FM_USEFERT(1.0),09/03/22 23:00:00,A,N,T,CZ,2008,341628,
ESTAT:AEI_FM_USEFERT(1.0),09/03/22 23:00:00,A,N,T,CZ,2009,253759,
ESTAT:AEI_FM_USEFERT(1.0),09/03/22 23:00:00,A,N,T,CZ,2010,270256,
ESTAT:AEI_FM_USEFERT(1.0),09/03/22 23:00:00,A,N,T,CZ,2011,352745,
ESTAT:AEI_FM_USEFERT(1.0),09/03/22 23:00:00,A,N,T,CZ,2012,348992,
ESTAT:AEI_FM_USEFERT(1.0),09/03/22 23:00:00,A,N,T,CZ,2013,331616,
ESTAT:AEI_FM_USEFERT(1.0),09/03/22 23:00:00,A,N,T,CZ,2014,325667,
ESTAT:AEI_FM_USEFERT(1.0),09/03/22 23:00:00,A,N,T,CZ,2015,397136,
ESTAT:AEI_FM_USEFERT(1.0),09/03/22 23:00:00,A,N,T,CZ,2016,407184,
ESTAT:AEI_FM_USEFERT(1.0),09/03/22 23:00:00,A,N,T,CZ,2017,397586,
ESTAT:AEI_FM_USEFERT(1.0),09/03/22 23:00:00,A,N,T,CZ,2018,351780,
ESTAT:AEI_FM_USEFERT(1.0),09/03/22 23:00:00,A,N,T,CZ,2019,332032,
ESTAT:AEI_FM_USEFERT(1.0),09/03/22 23:00:00,A,N,T,CZ,2020,285436,
ESTAT:AEI_FM_USEFERT(1.0),09/03/22 23:00:00,A,N,T,CZ01,2001,1272,
ESTAT:AEI_FM_USEFERT(1.0),09/03/22 23:00:00,A,N,T,CZ01,2002,556,
ESTAT:AEI_FM_USEFERT(1.0),09/03/22 23:00:00,A,N,T,CZ01,2003,795,
ESTAT:AEI_FM_USEFERT(1.0),09/03/22 23:00:00,A,N,T,CZ01,2004,908,
ESTAT:AEI_FM_USEFERT(1.0),09/03/22 23:00:00,A,N,T,CZ01,2005,868,
ESTAT:AEI_FM_USEFERT(1.0),09/03/22 23:00:00,A,N,T,CZ01,2006,1064,
ESTAT:AEI_FM_USEFERT(1.0),09/03/22 23:00:00,A,N,T,CZ01,2007,1190,
ESTAT:AEI_FM_USEFERT(1.0),09/03/22 23:00:00,A,N,T,CZ01,2008,747,
ESTAT:AEI_FM_USEFERT(1.0),09/03/22 23:00:00,A,N,T,CZ01,2009,971,
ESTAT:AEI_FM_USEFERT(1.0),09/03/22 23:00:00,A,N,T,CZ01,2010,1844,
ESTAT:AEI_FM_USEFERT(1.0),09/03/22 23:00:00,A,N,T,CZ01,2011,2275,
ESTAT:AEI_FM_USEFERT(1.0),09/03/22 23:00:00,A,N,T,CZ01,2012,1466,
