"Statistic","Year","Activity","Components of Gross Value Added","UNIT","VALUE"
"Gross Value Added (GVA) at Current Market Prices","1995","Postal and courier activities (53)","Consumption of Fixed Capital","Euro Million","39"
"Gross Value Added (GVA) at Current Market Prices","1995","Postal and courier activities (53)","Other Taxes less Other Subsidies on Production","Euro Million","27"
"Gross Value Added (GVA) at Current Market Prices","1995","Postal and courier activities (53)","Gross Value Added (GVA) at Basic Prices","Euro Million","475"
"Gross Value Added (GVA) at Current Market Prices","1995","Accommodation and food service activities (55,56)","Compensation of Employees","Euro Million","447"
"Gross Value Added (GVA) at Current Market Prices","1995","Accommodation and food service activities (55,56)","Net Operating Surplus and Net Mixed Income","Euro Million","369"
"Gross Value Added (GVA) at Current Market Prices","1995","Accommodation and food service activities (55,56)","Consumption of Fixed Capital","Euro Million","127"
"Gross Value Added (GVA) at Current Market Prices","1995","Accommodation and food service activities (55,56)","Other Taxes less Other Subsidies on Production","Euro Million","31"
"Gross Value Added (GVA) at Current Market Prices","1995","Accommodation and food service activities (55,56)","Gross Value Added (GVA) at Basic Prices","Euro Million","974"
"Gross Value Added (GVA) at Current Market Prices","1995","Publishing, audiovisual and broadcasting services (58 to 60)","Compensation of Employees","Euro Million","280"
"Gross Value Added (GVA) at Current Market Prices","1995","Publishing, audiovisual and broadcasting services (58 to 60)","Net Operating Surplus and Net Mixed Income","Euro Million","754"
"Gross Value Added (GVA) at Current Market Prices","1995","Publishing, audiovisual and broadcasting services (58 to 60)","Consumption of Fixed Capital","Euro Million","151"
"Gross Value Added (GVA) at Current Market Prices","1995","Publishing, audiovisual and broadcasting services (58 to 60)","Other Taxes less Other Subsidies on Production","Euro Million","22"
"Gross Value Added (GVA) at Current Market Prices","1995","Publishing, audiovisual and broadcasting services (58 to 60)","Gross Value Added (GVA) at Basic Prices","Euro Million","1207"
"Gross Value Added (GVA) at Current Market Prices","1995","Telecommunications (61)","Compensation of Employees","Euro Million","336"
"Gross Value Added (GVA) at Current Market Prices","1995","Telecommunications (61)","Net Operating Surplus and Net Mixed Income","Euro Million","823"
"Gross Value Added (GVA) at Current Market Prices","1995","Telecommunications (61)","Consumption of Fixed Capital","Euro Million","143"
"Gross Value Added (GVA) at Current Market Prices","1995","Telecommunications (61)","Other Taxes less Other Subsidies on Production","Euro Million","18"
"Gross Value Added (GVA) at Current Market Prices","1995","Telecommunications (61)","Gross Value Added (GVA) at Basic Prices","Euro Million","1321"
"Gross Value Added (GVA) at Current Market Prices","1995","Computer programming, consultancy and Information service activities (62,63)","Compensation of Employees","Euro Million","357"
"Gross Value Added (GVA) at Current Market Prices","1995","Computer programming, consultancy and Information service activities (62,63)","Net Operating Surplus and Net Mixed Income","Euro Million","215"
"Gross Value Added (GVA) at Current Market Prices","1995","Computer programming, consultancy and Information service activities (62,63)","Consumption of Fixed Capital","Euro Million","131"
"Gross Value Added (GVA) at Current Market Prices","1995","Computer programming, consultancy and Information service activities (62,63)","Other Taxes less Other Subsidies on Production","Euro Million","19"
"Gross Value Added (GVA) at Current Market Prices","1995","Computer programming, consultancy and Information service activities (62,63)","Gross Value Added (GVA) at Basic Prices","Euro Million","722"
"Gross Value Added (GVA) at Current Market Prices","1995","Financial service activities, except insurance and pension funding (64)","Compensation of Employees","Euro Million","1195"
"Gross Value Added (GVA) at Current Market Prices","1995","Financial service activities, except insurance and pension funding (64)","Net Operating Surplus and Net Mixed Income","Euro Million","1363"
"Gross Value Added (GVA) at Current Market Prices","1995","Financial service activities, except insurance and pension funding (64)","Consumption of Fixed Capital","Euro Million","124"
"Gross Value Added (GVA) at Current Market Prices","1995","Financial service activities, except insurance and pension funding (64)","Other Taxes less Other Subsidies on Production","Euro Million","48"
"Gross Value Added (GVA) at Current Market Prices","1995","Financial service activities, except insurance and pension funding (64)","Gross Value Added (GVA) at Basic Prices","Euro Million","2730"
"Gross Value Added (GVA) at Current Market Prices","1995","Insurance, reinsurance and pension funding, except compulsory social security (65)","Compensation of Employees","Euro Million","453"
"Gross Value Added (GVA) at Current Market Prices","1995","Insurance, reinsurance and pension funding, except compulsory social security (65)","Net Operating Surplus and Net Mixed Income","Euro Million","285"
"Gross Value Added (GVA) at Current Market Prices","1995","Insurance, reinsurance and pension funding, except compulsory social security (65)","Consumption of Fixed Capital","Euro Million","71"
"Gross Value Added (GVA) at Current Market Prices","1995","Insurance, reinsurance and pension funding, except compulsory social security (65)","Other Taxes less Other Subsidies on Production","Euro Million","14"
"Gross Value Added (GVA) at Current Market Prices","1995","Insurance, reinsurance and pension funding, except compulsory social security (65)","Gross Value Added (GVA) at Basic Prices","Euro Million","822"
"Gross Value Added (GVA) at Current Market Prices","1995","Activities auxiliary to financial services and insurance activities (66)","Compensation of Employees","Euro Million","36"
"Gross Value Added (GVA) at Current Market Prices","1995","Activities auxiliary to financial services and insurance activities (66)","Net Operating Surplus and Net Mixed Income","Euro Million","486"
"Gross Value Added (GVA) at Current Market Prices","1995","Activities auxiliary to financial services and insurance activities (66)","Consumption of Fixed Capital","Euro Million","71"
"Gross Value Added (GVA) at Current Market Prices","1995","Activities auxiliary to financial services and insurance activities (66)","Other Taxes less Other Subsidies on Production","Euro Million","11"
"Gross Value Added (GVA) at Current Market Prices","1995","Activities auxiliary to financial services and insurance activities (66)","Gross Value Added (GVA) at Basic Prices","Euro Million","603"
"Gross Value Added (GVA) at Current Market Prices","1995","Real estate activities (68)","Compensation of Employees","Euro Million","56"
"Gross Value Added (GVA) at Current Market Prices","1995","Real estate activities (68)","Net Operating Surplus and Net Mixed Income","Euro Million","1636"
"Gross Value Added (GVA) at Current Market Prices","1995","Real estate activities (68)","Consumption of Fixed Capital","Euro Million","1060"
"Gross Value Added (GVA) at Current Market Prices","1995","Real estate activities (68)","Other Taxes less Other Subsidies on Production","Euro Million","29"
"Gross Value Added (GVA) at Current Market Prices","1995","Real estate activities (68)","Gross Value Added (GVA) at Basic Prices","Euro Million","2780"
"Gross Value Added (GVA) at Current Market Prices","1995","Legal and accounting activities; head offices and management consultancy activities (69,70)","Compensation of Employees","Euro Million","355"
"Gross Value Added (GVA) at Current Market Prices","1995","Legal and accounting activities; head offices and management consultancy activities (69,70)","Net Operating Surplus and Net Mixed Income","Euro Million","163"
"Gross Value Added (GVA) at Current Market Prices","1995","Legal and accounting activities; head offices and management consultancy activities (69,70)","Consumption of Fixed Capital","Euro Million","24"
"Gross Value Added (GVA) at Current Market Prices","1995","Legal and accounting activities; head offices and management consultancy activities (69,70)","Other Taxes less Other Subsidies on Production","Euro Million","4"
"Gross Value Added (GVA) at Current Market Prices","1995","Legal and accounting activities; head offices and management consultancy activities (69,70)","Gross Value Added (GVA) at Basic Prices","Euro Million","546"
"Gross Value Added (GVA) at Current Market Prices","1995","Architectural and engineering activities; technical testing and analysis (71)","Compensation of Employees","Euro Million","171"
"Gross Value Added (GVA) at Current Market Prices","1995","Architectural and engineering activities; technical testing and analysis (71)","Net Operating Surplus and Net Mixed Income","Euro Million","80"
"Gross Value Added (GVA) at Current Market Prices","1995","Architectural and engineering activities; technical testing and analysis (71)","Consumption of Fixed Capital","Euro Million","24"
