"Statistic","Year","Activity","Components of Gross Value Added","UNIT","VALUE"
"Gross Value Added (GVA) at Current Market Prices","1995","Renting and leasing activities (77)","Net Operating Surplus and Net Mixed Income","Euro Million","624"
"Gross Value Added (GVA) at Current Market Prices","1995","Renting and leasing activities (77)","Consumption of Fixed Capital","Euro Million","47"
"Gross Value Added (GVA) at Current Market Prices","1995","Renting and leasing activities (77)","Other Taxes less Other Subsidies on Production","Euro Million","9"
"Gross Value Added (GVA) at Current Market Prices","1995","Renting and leasing activities (77)","Gross Value Added (GVA) at Basic Prices","Euro Million","711"
"Gross Value Added (GVA) at Current Market Prices","1995","Employment activities (78)","Compensation of Employees","Euro Million","52"
"Gross Value Added (GVA) at Current Market Prices","1995","Employment activities (78)","Net Operating Surplus and Net Mixed Income","Euro Million","-5"
"Gross Value Added (GVA) at Current Market Prices","1995","Employment activities (78)","Consumption of Fixed Capital","Euro Million","45"
"Gross Value Added (GVA) at Current Market Prices","1995","Employment activities (78)","Other Taxes less Other Subsidies on Production","Euro Million","-12"
"Gross Value Added (GVA) at Current Market Prices","1995","Employment activities (78)","Gross Value Added (GVA) at Basic Prices","Euro Million","80"
"Gross Value Added (GVA) at Current Market Prices","1995","Travel agency, tour operator and other reservation service and related activities (79)","Compensation of Employees","Euro Million","60"
"Gross Value Added (GVA) at Current Market Prices","1995","Travel agency, tour operator and other reservation service and related activities (79)","Net Operating Surplus and Net Mixed Income","Euro Million","-15"
"Gross Value Added (GVA) at Current Market Prices","1995","Travel agency, tour operator and other reservation service and related activities (79)","Consumption of Fixed Capital","Euro Million","47"
"Gross Value Added (GVA) at Current Market Prices","1995","Travel agency, tour operator and other reservation service and related activities (79)","Other Taxes less Other Subsidies on Production","Euro Million","1"
"Gross Value Added (GVA) at Current Market Prices","1995","Travel agency, tour operator and other reservation service and related activities (79)","Gross Value Added (GVA) at Basic Prices","Euro Million","92"
"Gross Value Added (GVA) at Current Market Prices","1995","Administrative and support service activities (80 to 82)","Compensation of Employees","Euro Million","186"
"Gross Value Added (GVA) at Current Market Prices","1995","Administrative and support service activities (80 to 82)","Net Operating Surplus and Net Mixed Income","Euro Million","134"
"Gross Value Added (GVA) at Current Market Prices","1995","Administrative and support service activities (80 to 82)","Consumption of Fixed Capital","Euro Million","60"
"Gross Value Added (GVA) at Current Market Prices","1995","Administrative and support service activities (80 to 82)","Other Taxes less Other Subsidies on Production","Euro Million","5"
"Gross Value Added (GVA) at Current Market Prices","1995","Administrative and support service activities (80 to 82)","Gross Value Added (GVA) at Basic Prices","Euro Million","385"
"Gross Value Added (GVA) at Current Market Prices","1995","Public administration and defence; compulsory social security (84)","Compensation of Employees","Euro Million","2324"
"Gross Value Added (GVA) at Current Market Prices","1995","Public administration and defence; compulsory social security (84)","Net Operating Surplus and Net Mixed Income","Euro Million","9"
"Gross Value Added (GVA) at Current Market Prices","1995","Public administration and defence; compulsory social security (84)","Consumption of Fixed Capital","Euro Million","399"
"Gross Value Added (GVA) at Current Market Prices","1995","Public administration and defence; compulsory social security (84)","Other Taxes less Other Subsidies on Production","Euro Million","5"
"Gross Value Added (GVA) at Current Market Prices","1995","Public administration and defence; compulsory social security (84)","Gross Value Added (GVA) at Basic Prices","Euro Million","2736"
"Gross Value Added (GVA) at Current Market Prices","1995","Education (85)","Compensation of Employees","Euro Million","2482"
"Gross Value Added (GVA) at Current Market Prices","1995","Education (85)","Net Operating Surplus and Net Mixed Income","Euro Million","124"
"Gross Value Added (GVA) at Current Market Prices","1995","Education (85)","Consumption of Fixed Capital","Euro Million","211"
"Gross Value Added (GVA) at Current Market Prices","1995","Education (85)","Other Taxes less Other Subsidies on Production","Euro Million","2"
"Gross Value Added (GVA) at Current Market Prices","1995","Education (85)","Gross Value Added (GVA) at Basic Prices","Euro Million","2819"
"Gross Value Added (GVA) at Current Market Prices","1995","Human health activities(86)","Compensation of Employees","Euro Million","2150"
"Gross Value Added (GVA) at Current Market Prices","1995","Human health activities(86)","Net Operating Surplus and Net Mixed Income","Euro Million","149"
"Gross Value Added (GVA) at Current Market Prices","1995","Human health activities(86)","Consumption of Fixed Capital","Euro Million","147"
"Gross Value Added (GVA) at Current Market Prices","1995","Human health activities(86)","Other Taxes less Other Subsidies on Production","Euro Million","6"
"Gross Value Added (GVA) at Current Market Prices","1995","Human health activities(86)","Gross Value Added (GVA) at Basic Prices","Euro Million","2453"
"Gross Value Added (GVA) at Current Market Prices","1995","Social work activities (87-88)","Compensation of Employees","Euro Million","295"
"Gross Value Added (GVA) at Current Market Prices","1995","Social work activities (87-88)","Net Operating Surplus and Net Mixed Income","Euro Million","193"
"Gross Value Added (GVA) at Current Market Prices","1995","Social work activities (87-88)","Consumption of Fixed Capital","Euro Million","6"
"Gross Value Added (GVA) at Current Market Prices","1995","Social work activities (87-88)","Other Taxes less Other Subsidies on Production","Euro Million","0"
"Gross Value Added (GVA) at Current Market Prices","1995","Social work activities (87-88)","Gross Value Added (GVA) at Basic Prices","Euro Million","494"
"Gross Value Added (GVA) at Current Market Prices","1995","Arts, entertainment and recreation (90 to 92)","Compensation of Employees","Euro Million","147"
"Gross Value Added (GVA) at Current Market Prices","1995","Arts, entertainment and recreation (90 to 92)","Net Operating Surplus and Net Mixed Income","Euro Million","296"
"Gross Value Added (GVA) at Current Market Prices","1995","Arts, entertainment and recreation (90 to 92)","Consumption of Fixed Capital","Euro Million","93"
"Gross Value Added (GVA) at Current Market Prices","1995","Arts, entertainment and recreation (90 to 92)","Other Taxes less Other Subsidies on Production","Euro Million","3"
"Gross Value Added (GVA) at Current Market Prices","1995","Arts, entertainment and recreation (90 to 92)","Gross Value Added (GVA) at Basic Prices","Euro Million","538"
"Gross Value Added (GVA) at Current Market Prices","1995","Sports activities and amusement and recreation activities (93)","Compensation of Employees","Euro Million","131"
"Gross Value Added (GVA) at Current Market Prices","1995","Sports activities and amusement and recreation activities (93)","Net Operating Surplus and Net Mixed Income","Euro Million","40"
"Gross Value Added (GVA) at Current Market Prices","1995","Sports activities and amusement and recreation activities (93)","Consumption of Fixed Capital","Euro Million","23"
"Gross Value Added (GVA) at Current Market Prices","1995","Sports activities and amusement and recreation activities (93)","Other Taxes less Other Subsidies on Production","Euro Million","2"
"Gross Value Added (GVA) at Current Market Prices","1995","Sports activities and amusement and recreation activities (93)","Gross Value Added (GVA) at Basic Prices","Euro Million","196"
"Gross Value Added (GVA) at Current Market Prices","1995","Activities of membership organisations (94)","Compensation of Employees","Euro Million","155"
"Gross Value Added (GVA) at Current Market Prices","1995","Activities of membership organisations (94)","Net Operating Surplus and Net Mixed Income","Euro Million","-5"
"Gross Value Added (GVA) at Current Market Prices","1995","Activities of membership organisations (94)","Consumption of Fixed Capital","Euro Million","13"
"Gross Value Added (GVA) at Current Market Prices","1995","Activities of membership organisations (94)","Other Taxes less Other Subsidies on Production","Euro Million","1"
"Gross Value Added (GVA) at Current Market Prices","1995","Activities of membership organisations (94)","Gross Value Added (GVA) at Basic Prices","Euro Million","163"
"Gross Value Added (GVA) at Current Market Prices","1995","Repair of computers and personal and household goods (95)","Compensation of Employees","Euro Million","14"
"Gross Value Added (GVA) at Current Market Prices","1995","Repair of computers and personal and household goods (95)","Net Operating Surplus and Net Mixed Income","Euro Million","-1"
"Gross Value Added (GVA) at Current Market Prices","1995","Repair of computers and personal and household goods (95)","Consumption of Fixed Capital","Euro Million","7"
"Gross Value Added (GVA) at Current Market Prices","1995","Repair of computers and personal and household goods (95)","Other Taxes less Other Subsidies on Production","Euro Million","0"
"Gross Value Added (GVA) at Current Market Prices","1995","Repair of computers and personal and household goods (95)","Gross Value Added (GVA) at Basic Prices","Euro Million","21"
"Gross Value Added (GVA) at Current Market Prices","1995","Other personal service activities (96)","Compensation of Employees","Euro Million","173"
"Gross Value Added (GVA) at Current Market Prices","1995","Other personal service activities (96)","Net Operating Surplus and Net Mixed Income","Euro Million","71"
"Gross Value Added (GVA) at Current Market Prices","1995","Other personal service activities (96)","Consumption of Fixed Capital","Euro Million","10"
"Gross Value Added (GVA) at Current Market Prices","1995","Other personal service activities (96)","Other Taxes less Other Subsidies on Production","Euro Million","1"
"Gross Value Added (GVA) at Current Market Prices","1995","Other personal service activities (96)","Gross Value Added (GVA) at Basic Prices","Euro Million","255"
"Gross Value Added (GVA) at Current Market Prices","1995","Activities of households as employers; producing activities of households for own use (97,98)","Compensation of Employees","Euro Million","45"
